PercentOfBaseline,change,Unemploy
92.66666667,2.166666667,6.4
95,0.245614035,6.4
100,-0.492957746,6.4
88.33333333,-0.611111111,11.4
90.66666667,0.857142857,11.4
70,-0.884615385,11.4
97.66666667,0.333333333,11.4
45.66666667,0,11.4
84,1,11.4
90,0.125,11.2
90.33333333,-0.555555556,11.2
92,0.75,11.2
95,-0.714285714,11.2
98.66666667,-1,11.2
91.66666667,inf,11.2
99,-1,10.1
93.33333333,,10.1
100,inf,10.1
96,1,10.1
82.66666667,-1,10.1
