PercentOfBaseline,change,Unemploy
97.4,0.527272727,2.6
96.4,1.095238095,2.6
88.6,-0.482954545,2.6
92.6,-0.241758242,22.3
81,0,22.3
78.6,-0.695652174,22.3
80.4,-0.428571429,22.3
78.6,-0.333333333,22.3
77.8,0.25,22.3
78.2,-0.4,23.5
83.4,-0.333333333,23.5
80.6,-0.5,23.5
84.4,2,23.5
77.2,-0.333333333,23.5
85.4,4.75,23.5
90.4,1.043478261,13.9
80.6,-0.170212766,13.9
89.8,0.461538462,13.9
91.8,0.403508772,13.9
86.8,-0.05,13.9
