PercentOfBaseline,change,Unemploy
35.4,3.25308642,6.3
27.4,0.059506531,6.3
34.8,-0.021917808,6.3
35,-0.050420168,28.3
25.2,-0.123893805,28.3
31.4,0.127946128,28.3
36,-0.2,28.3
35,0.298507463,28.3
27.4,-0.222701149,28.3
32.4,-0.384473198,25.3
27.8,0.777777778,25.3
26.8,0.326013514,25.3
23.2,-0.369426752,25.3
27.8,0.161616162,25.3
28,0.504347826,25.3
29.8,0.365317919,15
33,-0.00762066,15
31.2,0.559726962,15
27.2,0.730306346,15
27.4,0.124881442,15
