PercentOfBaseline,change,Unemploy
64,1.285714286,3.3
50.8,1.22275641,3.3
48.8,0.178803172,3.3
49.6,0.308868502,10.6
44.8,0.102803738,10.6
47.8,0.293220339,10.6
52.4,0.103538663,10.6
51.6,0.345308789,10.6
45.8,-0.182741117,10.6
53.2,0.246826897,9
53,-0.061728395,9
44.6,-0.05378578,9
44.4,0.534276653,9
50,-0.304817936,9
49.2,-0.005946935,9
53.2,-0.397606995,8.4
51,-0.095110772,8.4
52.2,0.163360068,8.4
49.8,-0.005079826,8.4
52.8,-0.030999271,8.4
