Date,PercentOfBaseline,State
4/21/2020,100,Alberta
4/21/2020,77,British Columbia
4/21/2020,89,Manitoba
4/21/2020,33,Nova Scotia
4/21/2020,51,Ontario
4/21/2020,95,Ontario
4/21/2020,88,Quebec
4/21/2020,64,Quebec
4/21/2020,61,California
4/21/2020,46,California
4/21/2020,31,Colorado
4/21/2020,72,Florida
4/21/2020,62,Georgia
4/21/2020,86,Hawaii
4/21/2020,71,Illinois
4/21/2020,60,Massachusetts
4/21/2020,49,Michigan
4/21/2020,69,North Carolina
4/21/2020,64,New Jersey
4/21/2020,38,Nevada
4/21/2020,53,New York
4/21/2020,46,New York
4/21/2020,58,Texas
4/21/2020,47,Virginia
4/21/2020,63,Washington
4/22/2020,60,New South Wales
4/22/2020,21,Santiago Province
4/22/2020,90,Alberta
4/22/2020,82,Alberta
4/22/2020,71,British Columbia
4/22/2020,98,Manitoba
4/22/2020,37,Nova Scotia
4/22/2020,53,Ontario
4/22/2020,91,Ontario
4/22/2020,82,Quebec
4/22/2020,63,Quebec
4/22/2020,60,California
4/22/2020,41,California
4/22/2020,49,Colorado
4/22/2020,73,Florida
4/22/2020,58,Georgia
4/22/2020,79,Hawaii
4/22/2020,70,Illinois
4/22/2020,65,Massachusetts
4/22/2020,52,Michigan
4/22/2020,77,North Carolina
4/22/2020,65,New Jersey
4/22/2020,40,Nevada
4/22/2020,59,New York
4/22/2020,46,New York
4/22/2020,65,Texas
4/22/2020,53,Virginia
4/22/2020,63,Washington
4/23/2020,61,New South Wales
4/23/2020,20,Santiago Province
4/23/2020,95,Alberta
4/23/2020,18,Alberta
4/23/2020,72,British Columbia
4/23/2020,89,Manitoba
4/23/2020,30,Nova Scotia
4/23/2020,51,Ontario
4/23/2020,92,Ontario
4/23/2020,68,Quebec
4/23/2020,71,Quebec
4/23/2020,63,California
4/23/2020,39,California
4/23/2020,39,Colorado
4/23/2020,62,Florida
4/23/2020,53,Georgia
4/23/2020,75,Hawaii
4/23/2020,67,Illinois
4/23/2020,56,Massachusetts
4/23/2020,48,Michigan
4/23/2020,69,North Carolina
4/23/2020,64,New Jersey
4/23/2020,37,Nevada
4/23/2020,49,New York
4/23/2020,45,New York
4/23/2020,62,Texas
4/23/2020,50,Virginia
4/23/2020,57,Washington
4/24/2020,62,New South Wales
4/24/2020,16,Santiago Province
4/24/2020,89,Alberta
4/24/2020,60,Alberta
4/24/2020,72,British Columbia
4/24/2020,86,Manitoba
4/24/2020,34,Nova Scotia
4/24/2020,52,Ontario
4/24/2020,90,Ontario
4/24/2020,73,Quebec
4/24/2020,67,Quebec
4/24/2020,61,California
4/24/2020,42,California
4/24/2020,41,Colorado
4/24/2020,68,Florida
4/24/2020,55,Georgia
4/24/2020,77,Hawaii
4/24/2020,65,Illinois
4/24/2020,54,Massachusetts
4/24/2020,45,Michigan
4/24/2020,69,North Carolina
4/24/2020,62,New Jersey
4/24/2020,32,Nevada
4/24/2020,44,New York
4/24/2020,44,New York
4/24/2020,64,Texas
4/24/2020,53,Virginia
4/24/2020,56,Washington
4/25/2020,80,Alberta
4/25/2020,33,Alberta
4/25/2020,55,British Columbia
4/25/2020,100,Manitoba
4/25/2020,11,Nova Scotia
4/25/2020,25,Ontario
4/25/2020,81,Ontario
4/25/2020,56,Quebec
4/25/2020,49,Quebec
4/25/2020,55,California
4/25/2020,31,California
4/25/2020,24,Colorado
4/25/2020,72,Florida
4/25/2020,53,Georgia
4/25/2020,70,Hawaii
4/25/2020,61,Illinois
4/25/2020,65,Massachusetts
4/25/2020,38,Michigan
4/25/2020,46,North Carolina
4/25/2020,57,New Jersey
4/25/2020,25,Nevada
4/25/2020,53,New York
4/25/2020,51,New York
4/25/2020,44,Texas
4/25/2020,46,Virginia
4/25/2020,42,Washington
4/26/2020,48,New South Wales
4/26/2020,7,Santiago Province
4/26/2020,72,Alberta
4/26/2020,41,British Columbia
4/26/2020,99,Manitoba
4/26/2020,11,Nova Scotia
4/26/2020,24,Ontario
4/26/2020,42,Ontario
4/26/2020,32,Quebec
4/26/2020,40,Quebec
4/26/2020,49,California
4/26/2020,21,California
4/26/2020,12,Colorado
4/26/2020,81,Florida
4/26/2020,48,Georgia
4/26/2020,82,Hawaii
4/26/2020,51,Illinois
4/26/2020,64,Massachusetts
4/26/2020,31,Michigan
4/26/2020,48,North Carolina
4/26/2020,55,New Jersey
4/26/2020,22,Nevada
4/26/2020,55,New York
4/26/2020,64,New York
4/26/2020,36,Texas
4/26/2020,44,Virginia
4/26/2020,43,Washington
4/27/2020,53,New South Wales
4/27/2020,22,Santiago Province
4/27/2020,100,Alberta
4/27/2020,65,Alberta
4/27/2020,79,British Columbia
4/27/2020,100,Manitoba
4/27/2020,43,Nova Scotia
4/27/2020,62,Ontario
4/27/2020,93,Ontario
4/27/2020,71,Quebec
4/27/2020,66,Quebec
4/27/2020,61,California
4/27/2020,43,California
4/27/2020,44,Colorado
4/27/2020,75,Florida
4/27/2020,50,Georgia
4/27/2020,82,Hawaii
4/27/2020,69,Illinois
4/27/2020,56,Massachusetts
4/27/2020,32,Michigan
4/27/2020,70,North Carolina
4/27/2020,70,New Jersey
4/27/2020,38,Nevada
4/27/2020,62,New York
4/27/2020,45,New York
4/27/2020,63,Texas
4/27/2020,56,Virginia
4/27/2020,61,Washington
4/28/2020,57,New South Wales
4/28/2020,21,Santiago Province
4/28/2020,99,Alberta
4/28/2020,56,Alberta
4/28/2020,73,British Columbia
4/28/2020,96,Manitoba
4/28/2020,60,Nova Scotia
4/28/2020,59,Ontario
4/28/2020,100,Ontario
4/28/2020,89,Quebec
4/28/2020,69,Quebec
4/28/2020,68,California
4/28/2020,44,California
4/28/2020,48,Colorado
4/28/2020,81,Florida
4/28/2020,63,Georgia
4/28/2020,82,Hawaii
4/28/2020,74,Illinois
4/28/2020,63,Massachusetts
4/28/2020,46,Michigan
4/28/2020,70,North Carolina
4/28/2020,70,New Jersey
4/28/2020,42,Nevada
4/28/2020,49,New York
4/28/2020,47,New York
4/28/2020,67,Texas
4/28/2020,53,Virginia
4/28/2020,66,Washington
4/29/2020,59,New South Wales
4/29/2020,22,Santiago Province
4/29/2020,95,Alberta
4/29/2020,57,Alberta
4/29/2020,70,British Columbia
4/29/2020,100,Manitoba
4/29/2020,45,Nova Scotia
4/29/2020,51,Ontario
4/29/2020,97,Ontario
4/29/2020,70,Quebec
4/29/2020,64,Quebec
4/29/2020,61,California
4/29/2020,44,California
4/29/2020,51,Colorado
4/29/2020,83,Florida
4/29/2020,61,Georgia
4/29/2020,77,Hawaii
4/29/2020,69,Illinois
4/29/2020,62,Massachusetts
4/29/2020,46,Michigan
4/29/2020,81,North Carolina
4/29/2020,65,New Jersey
4/29/2020,48,Nevada
4/29/2020,51,New York
4/29/2020,46,New York
4/29/2020,67,Texas
4/29/2020,59,Virginia
4/29/2020,59,Washington
4/30/2020,65,New South Wales
4/30/2020,31,Santiago Province
4/30/2020,89,Alberta
4/30/2020,64,Alberta
4/30/2020,72,British Columbia
4/30/2020,87,Manitoba
4/30/2020,36,Nova Scotia
4/30/2020,53,Ontario
4/30/2020,96,Ontario
4/30/2020,83,Quebec
4/30/2020,67,Quebec
4/30/2020,64,California
4/30/2020,50,California
4/30/2020,47,Colorado
4/30/2020,81,Florida
4/30/2020,55,Georgia
4/30/2020,80,Hawaii
4/30/2020,70,Illinois
4/30/2020,56,Massachusetts
4/30/2020,40,Michigan
4/30/2020,76,North Carolina
4/30/2020,67,New Jersey
4/30/2020,37,Nevada
4/30/2020,53,New York
4/30/2020,47,New York
4/30/2020,58,Texas
4/30/2020,45,Virginia
4/30/2020,59,Washington
5/1/2020,61,New South Wales
5/1/2020,88,Alberta
5/1/2020,48,Alberta
5/1/2020,74,British Columbia
5/1/2020,88,Manitoba
5/1/2020,35,Nova Scotia
5/1/2020,54,Ontario
5/1/2020,92,Ontario
5/1/2020,95,Quebec
5/1/2020,70,Quebec
5/1/2020,64,California
5/1/2020,41,California
5/1/2020,46,Colorado
5/1/2020,86,Florida
5/1/2020,58,Georgia
5/1/2020,80,Hawaii
5/1/2020,73,Illinois
5/1/2020,59,Massachusetts
5/1/2020,45,Michigan
5/1/2020,62,North Carolina
5/1/2020,65,New Jersey
5/1/2020,31,Nevada
5/1/2020,50,New York
5/1/2020,45,New York
5/1/2020,65,Texas
5/1/2020,49,Virginia
5/1/2020,58,Washington
5/2/2020,41,New South Wales
5/2/2020,78,Alberta
5/2/2020,26,Alberta
5/2/2020,63,British Columbia
5/2/2020,100,Manitoba
5/2/2020,14,Nova Scotia
5/2/2020,26,Ontario
5/2/2020,88,Ontario
5/2/2020,78,Quebec
5/2/2020,51,Quebec
5/2/2020,61,California
5/2/2020,27,California
5/2/2020,36,Colorado
5/2/2020,89,Florida
5/2/2020,58,Georgia
5/2/2020,78,Hawaii
5/2/2020,64,Illinois
5/2/2020,66,Massachusetts
5/2/2020,41,Michigan
5/2/2020,44,North Carolina
5/2/2020,56,New Jersey
5/2/2020,15,Nevada
5/2/2020,52,New York
5/2/2020,52,New York
5/2/2020,47,Texas
5/2/2020,39,Virginia
5/2/2020,38,Washington
5/3/2020,50,New South Wales
5/3/2020,100,Alberta
5/3/2020,49,British Columbia
5/3/2020,100,Manitoba
5/3/2020,19,Nova Scotia
5/3/2020,24,Ontario
5/3/2020,52,Ontario
5/3/2020,60,Quebec
5/3/2020,31,Quebec
5/3/2020,50,California
5/3/2020,22,California
5/3/2020,20,Colorado
5/3/2020,83,Florida
5/3/2020,48,Georgia
5/3/2020,76,Hawaii
5/3/2020,53,Illinois
5/3/2020,53,Massachusetts
5/3/2020,35,Michigan
5/3/2020,57,North Carolina
5/3/2020,66,New Jersey
5/3/2020,15,Nevada
5/3/2020,54,New York
5/3/2020,56,New York
5/3/2020,32,Texas
5/3/2020,36,Virginia
5/3/2020,47,Washington
5/4/2020,53,New South Wales
5/4/2020,25,Santiago Province
5/4/2020,100,Alberta
5/4/2020,42,Alberta
5/4/2020,84,British Columbia
5/4/2020,100,Manitoba
5/4/2020,56,Nova Scotia
5/4/2020,56,Ontario
5/4/2020,100,Ontario
5/4/2020,69,Quebec
5/4/2020,67,Quebec
5/4/2020,63,California
5/4/2020,37,California
5/4/2020,49,Colorado
5/4/2020,75,Florida
5/4/2020,53,Georgia
5/4/2020,75,Hawaii
5/4/2020,74,Illinois
5/4/2020,58,Massachusetts
5/4/2020,39,Michigan
5/4/2020,74,North Carolina
5/4/2020,73,New Jersey
5/4/2020,39,Nevada
5/4/2020,67,New York
5/4/2020,48,New York
5/4/2020,69,Texas
5/4/2020,60,Virginia
5/4/2020,59,Washington
5/5/2020,56,New South Wales
5/5/2020,13,Santiago Province
5/5/2020,92,Alberta
5/5/2020,85,Alberta
5/5/2020,76,British Columbia
5/5/2020,97,Manitoba
5/5/2020,61,Nova Scotia
5/5/2020,50,Ontario
5/5/2020,100,Ontario
5/5/2020,79,Quebec
5/5/2020,68,Quebec
5/5/2020,69,California
5/5/2020,41,California
5/5/2020,44,Colorado
5/5/2020,81,Florida
5/5/2020,58,Georgia
5/5/2020,83,Hawaii
5/5/2020,72,Illinois
5/5/2020,57,Massachusetts
5/5/2020,44,Michigan
5/5/2020,62,North Carolina
5/5/2020,77,New Jersey
5/5/2020,37,Nevada
5/5/2020,48,New York
5/5/2020,49,New York
5/5/2020,54,Texas
5/5/2020,65,Virginia
5/5/2020,73,Washington
5/6/2020,52,New South Wales
5/6/2020,22,Santiago Province
5/6/2020,92,Alberta
5/6/2020,68,Alberta
5/6/2020,76,British Columbia
5/6/2020,95,Manitoba
5/6/2020,45,Nova Scotia
5/6/2020,54,Ontario
5/6/2020,100,Ontario
5/6/2020,78,Quebec
5/6/2020,71,Quebec
5/6/2020,66,California
5/6/2020,44,California
5/6/2020,51,Colorado
5/6/2020,71,Florida
5/6/2020,57,Georgia
5/6/2020,82,Hawaii
5/6/2020,77,Illinois
5/6/2020,60,Massachusetts
5/6/2020,43,Michigan
5/6/2020,74,North Carolina
5/6/2020,73,New Jersey
5/6/2020,45,Nevada
5/6/2020,51,New York
5/6/2020,48,New York
5/6/2020,66,Texas
5/6/2020,52,Virginia
5/6/2020,67,Washington
5/7/2020,62,New South Wales
5/7/2020,28,Santiago Province
5/7/2020,86,Alberta
5/7/2020,76,Alberta
5/7/2020,82,British Columbia
5/7/2020,96,Manitoba
5/7/2020,43,Nova Scotia
5/7/2020,49,Ontario
5/7/2020,100,Ontario
5/7/2020,83,Quebec
5/7/2020,71,Quebec
5/7/2020,72,California
5/7/2020,37,California
5/7/2020,48,Colorado
5/7/2020,70,Florida
5/7/2020,60,Georgia
5/7/2020,81,Hawaii
5/7/2020,67,Illinois
5/7/2020,58,Massachusetts
5/7/2020,38,Michigan
5/7/2020,68,North Carolina
5/7/2020,70,New Jersey
5/7/2020,33,Nevada
5/7/2020,50,New York
5/7/2020,51,New York
5/7/2020,63,Texas
5/7/2020,51,Virginia
5/7/2020,61,Washington
5/8/2020,56,New South Wales
5/8/2020,19,Santiago Province
5/8/2020,79,Alberta
5/8/2020,74,Alberta
5/8/2020,71,British Columbia
5/8/2020,89,Manitoba
5/8/2020,28,Nova Scotia
5/8/2020,57,Ontario
5/8/2020,100,Ontario
5/8/2020,100,Quebec
5/8/2020,69,Quebec
5/8/2020,68,California
5/8/2020,49,California
5/8/2020,49,Colorado
5/8/2020,66,Florida
5/8/2020,56,Georgia
5/8/2020,75,Hawaii
5/8/2020,70,Illinois
5/8/2020,63,Massachusetts
5/8/2020,42,Michigan
5/8/2020,76,North Carolina
5/8/2020,70,New Jersey
5/8/2020,32,Nevada
5/8/2020,47,New York
5/8/2020,50,New York
5/8/2020,54,Texas
5/8/2020,52,Virginia
5/8/2020,60,Washington
5/9/2020,19,New South Wales
5/9/2020,15,Santiago Province
5/9/2020,71,Alberta
5/9/2020,59,British Columbia
5/9/2020,100,Manitoba
5/9/2020,25,Nova Scotia
5/9/2020,26,Ontario
5/9/2020,86,Ontario
5/9/2020,100,Quebec
5/9/2020,49,Quebec
5/9/2020,56,California
5/9/2020,38,California
5/9/2020,33,Colorado
5/9/2020,51,Florida
5/9/2020,53,Georgia
5/9/2020,70,Hawaii
5/9/2020,62,Illinois
5/9/2020,56,Massachusetts
5/9/2020,45,Michigan
5/9/2020,51,North Carolina
5/9/2020,59,New Jersey
5/9/2020,15,Nevada
5/9/2020,50,New York
5/9/2020,55,New York
5/9/2020,42,Texas
5/9/2020,46,Virginia
5/9/2020,46,Washington
5/10/2020,40,New South Wales
5/10/2020,12,Santiago Province
5/10/2020,92,Alberta
5/10/2020,56,British Columbia
5/10/2020,100,Manitoba
5/10/2020,26,Nova Scotia
5/10/2020,24,Ontario
5/10/2020,55,Ontario
5/10/2020,32,Quebec
5/10/2020,53,California
5/10/2020,24,California
5/10/2020,21,Colorado
5/10/2020,65,Florida
5/10/2020,49,Georgia
5/10/2020,88,Hawaii
5/10/2020,48,Illinois
5/10/2020,52,Massachusetts
5/10/2020,31,Michigan
5/10/2020,55,North Carolina
5/10/2020,64,New Jersey
5/10/2020,16,Nevada
5/10/2020,60,New York
5/10/2020,57,New York
5/10/2020,38,Texas
5/10/2020,34,Virginia
5/10/2020,39,Washington
5/11/2020,47,New South Wales
5/11/2020,28,Santiago Province
5/11/2020,100,Alberta
5/11/2020,55,Alberta
5/11/2020,85,British Columbia
5/11/2020,100,Manitoba
5/11/2020,80,Nova Scotia
5/11/2020,54,Ontario
5/11/2020,100,Ontario
5/11/2020,100,Quebec
5/11/2020,69,Quebec
5/11/2020,63,California
5/11/2020,44,California
5/11/2020,44,Colorado
5/11/2020,64,Florida
5/11/2020,54,Georgia
5/11/2020,85,Hawaii
5/11/2020,68,Illinois
5/11/2020,61,Massachusetts
5/11/2020,33,Michigan
5/11/2020,66,North Carolina
5/11/2020,79,New Jersey
5/11/2020,29,Nevada
5/11/2020,53,New York
5/11/2020,51,New York
5/11/2020,68,Texas
5/11/2020,60,Virginia
5/11/2020,69,Washington
5/12/2020,54,New South Wales
5/12/2020,35,Santiago Province
5/12/2020,99,Alberta
5/12/2020,68,Alberta
5/12/2020,81,British Columbia
5/12/2020,100,Manitoba
5/12/2020,71,Nova Scotia
5/12/2020,58,Ontario
5/12/2020,100,Ontario
5/12/2020,100,Quebec
5/12/2020,75,Quebec
5/12/2020,66,California
5/12/2020,49,California
5/12/2020,46,Colorado
5/12/2020,74,Florida
5/12/2020,61,Georgia
5/12/2020,83,Hawaii
5/12/2020,74,Illinois
5/12/2020,59,Massachusetts
5/12/2020,41,Michigan
5/12/2020,71,North Carolina
5/12/2020,70,New Jersey
5/12/2020,29,Nevada
5/12/2020,49,New York
5/12/2020,48,New York
5/12/2020,61,Texas
5/12/2020,56,Virginia
5/12/2020,65,Washington
5/13/2020,56,New South Wales
5/13/2020,32,Santiago Province
5/13/2020,85,Alberta
5/13/2020,59,Alberta
5/13/2020,79,British Columbia
5/13/2020,100,Manitoba
5/13/2020,68,Nova Scotia
5/13/2020,51,Ontario
5/13/2020,100,Ontario
5/13/2020,100,Quebec
5/13/2020,70,Quebec
5/13/2020,64,California
5/13/2020,49,California
5/13/2020,51,Colorado
5/13/2020,72,Florida
5/13/2020,64,Georgia
5/13/2020,78,Hawaii
5/13/2020,75,Illinois
5/13/2020,61,Massachusetts
5/13/2020,35,Michigan
5/13/2020,79,North Carolina
5/13/2020,68,New Jersey
5/13/2020,31,Nevada
5/13/2020,66,New York
5/13/2020,50,New York
5/13/2020,72,Texas
5/13/2020,57,Virginia
5/13/2020,73,Washington
5/14/2020,59,New South Wales
5/14/2020,18,Santiago Province
5/14/2020,90,Alberta
5/14/2020,25,Alberta
5/14/2020,75,British Columbia
5/14/2020,88,Manitoba
5/14/2020,56,Nova Scotia
5/14/2020,57,Ontario
5/14/2020,100,Ontario
5/14/2020,100,Quebec
5/14/2020,75,Quebec
5/14/2020,64,California
5/14/2020,48,California
5/14/2020,51,Colorado
5/14/2020,74,Florida
5/14/2020,57,Georgia
5/14/2020,83,Hawaii
5/14/2020,71,Illinois
5/14/2020,56,Massachusetts
5/14/2020,34,Michigan
5/14/2020,72,North Carolina
5/14/2020,67,New Jersey
5/14/2020,34,Nevada
5/14/2020,56,New York
5/14/2020,47,New York
5/14/2020,66,Texas
5/14/2020,58,Virginia
5/14/2020,67,Washington
5/15/2020,59,New South Wales
5/15/2020,23,Santiago Province
5/15/2020,83,Alberta
5/15/2020,67,Alberta
5/15/2020,68,British Columbia
5/15/2020,94,Manitoba
5/15/2020,50,Nova Scotia
5/15/2020,52,Ontario
5/15/2020,90,Ontario
5/15/2020,100,Quebec
5/15/2020,76,Quebec
5/15/2020,68,California
5/15/2020,56,California
5/15/2020,52,Colorado
5/15/2020,68,Florida
5/15/2020,60,Georgia
5/15/2020,73,Hawaii
5/15/2020,72,Illinois
5/15/2020,58,Massachusetts
5/15/2020,31,Michigan
5/15/2020,67,North Carolina
5/15/2020,68,New Jersey
5/15/2020,32,Nevada
5/15/2020,54,New York
5/15/2020,49,New York
5/15/2020,62,Texas
5/15/2020,49,Virginia
5/15/2020,63,Washington
5/16/2020,23,New South Wales
5/16/2020,22,Santiago Province
5/16/2020,65,Alberta
5/16/2020,33,Alberta
5/16/2020,64,British Columbia
5/16/2020,100,Manitoba
5/16/2020,63,Nova Scotia
5/16/2020,23,Ontario
5/16/2020,82,Ontario
5/16/2020,83,Quebec
5/16/2020,52,Quebec
5/16/2020,60,California
5/16/2020,38,California
5/16/2020,34,Colorado
5/16/2020,66,Florida
5/16/2020,51,Georgia
5/16/2020,73,Hawaii
5/16/2020,73,Illinois
5/16/2020,53,Massachusetts
5/16/2020,31,Michigan
5/16/2020,43,North Carolina
5/16/2020,68,New Jersey
5/16/2020,15,Nevada
5/16/2020,61,New York
5/16/2020,53,New York
5/16/2020,49,Texas
5/16/2020,40,Virginia
5/16/2020,40,Washington
5/17/2020,43,New South Wales
5/17/2020,10,Santiago Province
5/17/2020,64,Alberta
5/17/2020,49,British Columbia
5/17/2020,54,Manitoba
5/17/2020,79,Nova Scotia
5/17/2020,21,Ontario
5/17/2020,63,Ontario
5/17/2020,100,Quebec
5/17/2020,28,Quebec
5/17/2020,54,California
5/17/2020,28,California
5/17/2020,21,Colorado
5/17/2020,57,Florida
5/17/2020,45,Georgia
5/17/2020,77,Hawaii
5/17/2020,62,Illinois
5/17/2020,51,Massachusetts
5/17/2020,27,Michigan
5/17/2020,71,North Carolina
5/17/2020,65,New Jersey
5/17/2020,18,Nevada
5/17/2020,48,New York
5/17/2020,58,New York
5/17/2020,38,Texas
5/17/2020,32,Virginia
5/17/2020,52,Washington
5/18/2020,51,New South Wales
5/18/2020,27,Santiago Province
5/18/2020,21,Alberta
5/18/2020,22,British Columbia
5/18/2020,9,Manitoba
5/18/2020,46,Nova Scotia
5/18/2020,10,Ontario
5/18/2020,11,Ontario
5/18/2020,20,Quebec
5/18/2020,12,Quebec
5/18/2020,60,California
5/18/2020,38,California
5/18/2020,45,Colorado
5/18/2020,67,Florida
5/18/2020,50,Georgia
5/18/2020,86,Hawaii
5/18/2020,72,Illinois
5/18/2020,62,Massachusetts
5/18/2020,36,Michigan
5/18/2020,79,North Carolina
5/18/2020,78,New Jersey
5/18/2020,30,Nevada
5/18/2020,58,New York
5/18/2020,54,New York
5/18/2020,70,Texas
5/18/2020,54,Virginia
5/18/2020,67,Washington
5/19/2020,60,New South Wales
5/19/2020,29,Santiago Province
5/19/2020,91,Alberta
5/19/2020,75,Alberta
5/19/2020,62,British Columbia
5/19/2020,93,Manitoba
5/19/2020,77,Nova Scotia
5/19/2020,54,Ontario
5/19/2020,69,Ontario
5/19/2020,100,Quebec
5/19/2020,64,Quebec
5/19/2020,67,California
5/19/2020,54,California
5/19/2020,48,Colorado
5/19/2020,74,Florida
5/19/2020,61,Georgia
5/19/2020,94,Hawaii
5/19/2020,82,Illinois
5/19/2020,62,Massachusetts
5/19/2020,39,Michigan
5/19/2020,86,North Carolina
5/19/2020,74,New Jersey
5/19/2020,39,Nevada
5/19/2020,53,New York
5/19/2020,55,New York
5/19/2020,72,Texas
5/19/2020,48,Virginia
5/19/2020,66,Washington
5/20/2020,61,New South Wales
5/20/2020,35,Santiago Province
5/20/2020,85,Alberta
5/20/2020,57,Alberta
5/20/2020,75,British Columbia
5/20/2020,100,Manitoba
5/20/2020,66,Nova Scotia
5/20/2020,63,Ontario
5/20/2020,100,Ontario
5/20/2020,100,Quebec
5/20/2020,75,Quebec
5/20/2020,62,California
5/20/2020,62,California
5/20/2020,57,Colorado
5/20/2020,77,Florida
5/20/2020,62,Georgia
5/20/2020,83,Hawaii
5/20/2020,75,Illinois
5/20/2020,62,Massachusetts
5/20/2020,43,Michigan
5/20/2020,79,North Carolina
5/20/2020,69,New Jersey
5/20/2020,40,Nevada
5/20/2020,57,New York
5/20/2020,55,New York
5/20/2020,70,Texas
5/20/2020,56,Virginia
5/20/2020,74,Washington
5/21/2020,54,New South Wales
5/21/2020,13,Santiago Province
5/21/2020,85,Alberta
5/21/2020,37,Alberta
5/21/2020,78,British Columbia
5/21/2020,95,Manitoba
5/21/2020,51,Nova Scotia
5/21/2020,64,Ontario
5/21/2020,100,Ontario
5/21/2020,100,Quebec
5/21/2020,78,Quebec
5/21/2020,66,California
5/21/2020,59,California
5/21/2020,50,Colorado
5/21/2020,74,Florida
5/21/2020,61,Georgia
5/21/2020,88,Hawaii
5/21/2020,77,Illinois
5/21/2020,60,Massachusetts
5/21/2020,42,Michigan
5/21/2020,79,North Carolina
5/21/2020,74,New Jersey
5/21/2020,24,Nevada
5/21/2020,54,New York
5/21/2020,53,New York
5/21/2020,69,Texas
5/21/2020,47,Virginia
5/21/2020,68,Washington
5/22/2020,50,New South Wales
5/22/2020,18,Santiago Province
5/22/2020,80,Alberta
5/22/2020,70,Alberta
5/22/2020,74,British Columbia
5/22/2020,100,Manitoba
5/22/2020,47,Nova Scotia
5/22/2020,66,Ontario
5/22/2020,100,Ontario
5/22/2020,100,Quebec
5/22/2020,75,Quebec
5/22/2020,67,California
5/22/2020,58,California
5/22/2020,54,Colorado
5/22/2020,74,Florida
5/22/2020,58,Georgia
5/22/2020,83,Hawaii
5/22/2020,72,Illinois
5/22/2020,52,Massachusetts
5/22/2020,45,Michigan
5/22/2020,61,North Carolina
5/22/2020,71,New Jersey
5/22/2020,26,Nevada
5/22/2020,48,New York
5/22/2020,52,New York
5/22/2020,68,Texas
5/22/2020,42,Virginia
5/22/2020,63,Washington
5/23/2020,16,New South Wales
5/23/2020,15,Santiago Province
5/23/2020,63,Alberta
5/23/2020,61,British Columbia
5/23/2020,100,Manitoba
5/23/2020,20,Nova Scotia
5/23/2020,26,Ontario
5/23/2020,99,Ontario
5/23/2020,79,Quebec
5/23/2020,58,Quebec
5/23/2020,59,California
5/23/2020,40,California
5/23/2020,25,Colorado
5/23/2020,64,Florida
5/23/2020,56,Georgia
5/23/2020,77,Hawaii
5/23/2020,78,Illinois
5/23/2020,51,Massachusetts
5/23/2020,39,Michigan
5/23/2020,57,North Carolina
5/23/2020,56,New Jersey
5/23/2020,14,Nevada
5/23/2020,44,New York
5/23/2020,58,New York
5/23/2020,50,Texas
5/23/2020,33,Virginia
5/23/2020,42,Washington
5/24/2020,40,New South Wales
5/24/2020,9,Santiago Province
5/24/2020,77,Alberta
5/24/2020,73,British Columbia
5/24/2020,71,Manitoba
5/24/2020,30,Nova Scotia
5/24/2020,23,Ontario
5/24/2020,60,Ontario
5/24/2020,100,Quebec
5/24/2020,34,Quebec
5/24/2020,52,California
5/24/2020,23,California
5/24/2020,13,Colorado
5/24/2020,58,Florida
5/24/2020,52,Georgia
5/24/2020,91,Hawaii
5/24/2020,58,Illinois
5/24/2020,47,Massachusetts
5/24/2020,32,Michigan
5/24/2020,59,North Carolina
5/24/2020,63,New Jersey
5/24/2020,12,Nevada
5/24/2020,38,New York
5/24/2020,68,New York
5/24/2020,35,Texas
5/24/2020,44,Virginia
5/24/2020,53,Washington
5/25/2020,53,New South Wales
5/25/2020,27,Santiago Province
5/25/2020,100,Alberta
5/25/2020,63,Alberta
5/25/2020,83,British Columbia
5/25/2020,100,Manitoba
5/25/2020,69,Nova Scotia
5/25/2020,68,Ontario
5/25/2020,100,Ontario
5/25/2020,100,Quebec
5/25/2020,79,Quebec
5/25/2020,32,California
5/25/2020,21,California
5/25/2020,16,Colorado
5/25/2020,19,Florida
5/25/2020,26,Georgia
5/25/2020,41,Hawaii
5/25/2020,25,Illinois
5/25/2020,32,Massachusetts
5/25/2020,22,Michigan
5/25/2020,20,North Carolina
5/25/2020,31,New Jersey
5/25/2020,10,Nevada
5/25/2020,23,New York
5/25/2020,27,New York
5/25/2020,16,Texas
5/25/2020,19,Virginia
5/25/2020,25,Washington
5/26/2020,53,New South Wales
5/26/2020,22,Santiago Province
5/26/2020,100,Alberta
5/26/2020,58,Alberta
5/26/2020,78,British Columbia
5/26/2020,100,Manitoba
5/26/2020,73,Nova Scotia
5/26/2020,65,Ontario
5/26/2020,100,Ontario
5/26/2020,100,Quebec
5/26/2020,76,Quebec
5/26/2020,51,California
5/26/2020,35,California
5/26/2020,46,Colorado
5/26/2020,75,Florida
5/26/2020,51,Georgia
5/26/2020,74,Hawaii
5/26/2020,67,Illinois
5/26/2020,58,Massachusetts
5/26/2020,48,Michigan
5/26/2020,84,North Carolina
5/26/2020,63,New Jersey
5/26/2020,35,Nevada
5/26/2020,47,New York
5/26/2020,53,New York
5/26/2020,67,Texas
5/26/2020,57,Virginia
5/26/2020,61,Washington
5/27/2020,58,New South Wales
5/27/2020,19,Santiago Province
5/27/2020,92,Alberta
5/27/2020,72,Alberta
5/27/2020,77,British Columbia
5/27/2020,100,Manitoba
5/27/2020,73,Nova Scotia
5/27/2020,61,Ontario
